,vessel_type,mmsi,date_year,date_month,geo_name
0,Tanker,373148000,2019,7,AS SUWAYS (EG)
1,Tanker,565321000,2019,7,MJIMWEMA TERMINAL (TZ)
2,Tanker,622120921,2019,7,AS SUWAYS (EG)
3,Cargo,256644000,2019,7,EL ISMAILIYA (EG)
4,Cargo,356875000,2019,7,MJIMWEMA TERMINAL (TZ)
5,Cargo,622113175,2019,7,BUR SAID (PORT SAID) (EG)
6,Tanker,538006075,2019,7,AS SUWAYS (EG)
7,Tanker,256903000,2019,7,AS SUWAYS (EG)
8,Cargo,271044166,2019,7,BUR SAID (PORT SAID) (EG)
9,Cargo,671573000,2019,7,AS SUWAYS (EG)
10,Cargo,538004513,2019,7,EL ISMAILIYA (EG)
11,Cargo,354486000,2019,7,EL MAADIYA (EG)
12,Cargo,235101105,2019,7,BUR SAID (PORT SAID) (EG)
13,Cargo,314468000,2019,7,AL ISKANDARIYH (ALEXANDRIA) (EG)
14,Tanker,256901000,2019,7,AL ISKANDARIYH (ALEXANDRIA) (EG)
15,Cargo,636017669,2019,7,DAMIETTA (EG)
16,Tanker,636018206,2019,7,BUR SAID (PORT SAID) (EG)
17,Cargo,374448000,2019,7,EL MAADIYA (EG)
18,Cargo,538004825,2019,7,AS SUWAYS (EG)
19,Tanker,310732000,2019,7,BUR SAID (PORT SAID) (EG)
20,Tanker,566018000,2019,7,MJIMWEMA TERMINAL (TZ)
21,Cargo,477103800,2019,7,AS SUWAYS (EG)
22,Cargo,563493000,2019,7,AS SUWAYS (EG)
23,Cargo,248430000,2019,7,AS SUWAYS (EG)
24,Tanker,538006843,2019,7,DORALEH (DJ)
25,Cargo,305703000,2019,7,MOMBASA (KE)
26,Cargo,241217000,2019,7,ZAFARANA TERMINAL (EG)
27,Cargo,565448000,2019,7,AS SUWAYS (EG)
28,Tanker,240955000,2019,7,BUR SAID (PORT SAID) (EG)
29,Cargo,247322900,2019,7,BUR SAID (PORT SAID) (EG)
30,Cargo,371147000,2019,7,AS SUWAYS (EG)
31,Tanker,636016361,2019,7,EL ISMAILIYA (EG)
32,Cargo,636092489,2019,7,MJIMWEMA TERMINAL (TZ)
33,Cargo,477153300,2019,7,AL ISKANDARIYH (ALEXANDRIA) (EG)
