name,longitude,latitude
SHAKOTAN (RU),146.833333,43.866667
EL GHARDAQA (EG),33.85,27.216667
RAS SHUKHIER (EG),33.283333,28.133333
RAS GHARIB (EG),33.1,28.35
AS SUWAYS (EG),32.55,29.966667
EL-ADABIYA (EG),32.466667,29.866667
EL ISMAILIYA (EG),32.283333,30.583333
RAS ABU ZANIMAH (EG),33.116667,29.033333
WADI FEIRAN (EG),33.2,28.75
DE KASTRI (RU),140.783333,51.466667
NIKOLAYEVSK NA AMUR (RU),140.733333,53.133333
OKHA (RU),143.0,53.55
PORONAYSK (RU),143.133333,49.216667
KORSAKOV (RU),142.766667,46.616667
NEVELSK (RU),141.866667,46.666667
KHOLMSK (RU),142.05,47.05
UGLEGORSK (RU),142.033333,49.083333
LESOGORSK (RU),142.133333,49.45
LOMONOSOV (RU),29.766667,59.916667
KRONSHTADT (RU),29.783333,59.983333
REKA LUGA (RU),28.316667,59.666667
BALTIYSK (RU),19.9,54.633333
KALININGRAD (RU),20.483333,54.7
ZAFARANA TERMINAL (EG),32.683333,29.166667
ZEIT BAY LPG TERMINAL (EG),33.566667,27.8
DORALEH (DJ),43.083333,11.6
BOOSAASO (SO),49.183333,11.283333
AL KHAIR OIL TERMINAL (SD),37.25,19.583333
BESHAYER OIL TERMINAL (SD),37.316667,19.4
SAWAKIN HARBOR (SD),37.35,19.133333
AIN SUKHNA TERMINAL (EG),32.366667,29.583333
RAS ISA MARINE TERMINAL (YE),42.6,15.133333
PETROPAVLOVSK (RU),158.65,53.05
NIKOL SKOYE (RU),165.983333,55.2
PROVIDENIYA (RU),-173.233333,64.416667
TIKSI (RU),128.866667,71.633333
PEVEK (RU),170.3,69.716667
PORT DIKSON (RU),80.516667,73.5
DUDINKA (RU),86.166667,69.4
IGARKA (RU),86.6,67.483333
MEZEN (RU),44.183333,65.833333
ARKHANGELS'K (RU),40.533333,64.533333
EAST ZEIT TERMINAL (EG),33.6,27.85
SHARM EL SHEIKH (EG),34.283333,27.85
EL TUR HARBOR (EG),33.616667,28.233333
NUWEIBA EL MUZEIMA (EG),34.65,28.966667
NORTH AIN SUKHNA PORT (EG),32.366667,29.65
SHAKHTERSK (RU),142.066667,49.166667
KAVKAZ OIL TERMINAL (RU),36.65,45.333333
ZARUBINO (RU),131.083333,42.633333
VITAZ MARINE TERMINAL (RU),143.55,52.7
CHORNOMORS KE (UA),32.7,45.516667
YEVPATORIYA (UA),33.383333,45.2
SEVASTOPOL (UA),33.533333,44.616667
BALAKLAVA (UA),33.6,44.5
YALTA (UA),34.166667,44.483333
ALUSHTA (UA),34.416667,44.683333
SUDAK (UA),34.983333,44.85
FEODOSIYA (UA),35.433333,45.016667
SEVERODVINSK (RU),39.783333,64.566667
RABOCHEOSTROVSK (RU),34.783333,64.983333
KANDALAKSHA (RU),32.416667,67.133333
BOLSHAYA PIRYU GUBA (RU),34.366667,66.666667
OSTROVNOY GREMIKHA (RU),39.516667,68.05
