geo_name,date_year,date_month,vessel_type,total,UA,RU,longitude,latitude,iso2
ADLER (RU),2021,11,Cargo,1,1,1,39.933333,43.433333,RU
AIN SUKHNA TERMINAL (EG),2021,8,Tanker,21,0,2,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,8,Cargo,4,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,9,Tanker,16,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,9,Cargo,5,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,10,Cargo,10,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,10,Tanker,16,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,11,Cargo,5,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,11,Tanker,12,0,2,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,12,Tanker,6,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2021,12,Cargo,4,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,1,Tanker,14,1,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,1,Cargo,5,1,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,2,Tanker,8,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,2,Cargo,4,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,3,Cargo,6,1,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,3,Tanker,7,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,4,Cargo,11,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,4,Tanker,22,0,2,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,5,Cargo,6,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,5,Tanker,23,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,6,Tanker,29,0,3,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,6,Cargo,5,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,7,Tanker,24,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,7,Cargo,13,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,8,Cargo,13,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,8,Tanker,27,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,9,Tanker,28,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,9,Cargo,7,0,0,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,10,Tanker,26,0,1,32.366667,29.583333,EG
AIN SUKHNA TERMINAL (EG),2022,10,Cargo,8,0,1,32.366667,29.583333,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,7,Tanker,1,0,0,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,8,Cargo,195,22,24,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,8,Tanker,85,4,9,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,9,Cargo,187,29,33,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,9,Tanker,79,9,17,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,10,Tanker,69,5,7,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,10,Cargo,192,37,30,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,11,Tanker,72,2,5,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,11,Cargo,170,31,38,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,12,Tanker,79,6,11,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2021,12,Cargo,192,28,33,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,1,Cargo,244,28,28,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,1,Tanker,65,4,11,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,2,Tanker,70,3,19,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,2,Cargo,225,19,28,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,3,Tanker,68,2,10,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,3,Cargo,260,25,37,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,4,Cargo,215,4,30,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,4,Tanker,77,1,11,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,5,Cargo,202,9,34,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,5,Tanker,70,1,3,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,6,Tanker,83,1,9,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,6,Cargo,216,7,35,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,7,Cargo,206,6,23,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,7,Tanker,71,2,7,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,8,Tanker,74,4,6,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,8,Cargo,224,11,42,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,9,Cargo,222,16,39,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,9,Tanker,84,5,3,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,10,Cargo,237,19,42,29.833333,31.166667,EG
AL ISKANDARIYH (ALEXANDRIA) (EG),2022,10,Tanker,66,5,4,29.833333,31.166667,EG
AL KHAIR OIL TERMINAL (SD),2021,7,Tanker,1,0,0,37.25,19.583333,SD
AL KHAIR OIL TERMINAL (SD),2021,8,Tanker,20,0,1,37.25,19.583333,SD
AL KHAIR OIL TERMINAL (SD),2021,8,Cargo,48,1,0,37.25,19.583333,SD
AL KHAIR OIL TERMINAL (SD),2021,9,Cargo,47,4,2,37.25,19.583333,SD
AL KHAIR OIL TERMINAL (SD),2021,9,Tanker,23,1,0,37.25,19.583333,SD
AL KHAIR OIL TERMINAL (SD),2021,10,Cargo,45,3,7,37.25,19.583333,SD
AL KHAIR OIL TERMINAL (SD),2021,10,Tanker,10,0,0,37.25,19.583333,SD
AL KHAIR OIL TERMINAL (SD),2021,11,Cargo,47,2,3,37.25,19.583333,SD
