geo_name,date_year,date_month,vessel_type,total,ships_from_ukraine,ships_from_russia,ships_through_suez,ships_through_bosphorus,longitude,latitude,iso2,date
Bosphorus (TR),2019,1,Cargo,1359,658,642,63,1359,29.07183305,41.11833286,Bosphorus Strait,2019-01-01
Bosphorus (TR),2019,1,Tanker,443,74,293,33,443,29.07183305,41.11833286,Bosphorus Strait,2019-01-01
DORALEH (DJ),2019,1,Cargo,98,1,3,16,4,43.083333,11.6,DJ,2019-01-01
DORALEH (DJ),2019,1,Tanker,30,0,0,2,0,43.083333,11.6,DJ,2019-01-01
AIN SUKHNA TERMINAL (EG),2019,1,Cargo,4,0,1,0,2,32.366667,29.583333,EG,2019-01-01
AL ISKANDARIYH (ALEXANDRIA) (EG),2019,1,Cargo,243,31,44,5,74,29.833333,31.166667,EG,2019-01-01
AL QUSAYR (EG),2019,1,Cargo,3,0,0,0,0,34.283333,26.1,EG,2019-01-01
AS SUWAYS (EG),2019,1,Cargo,582,40,27,278,68,32.55,29.966667,EG,2019-01-01
BUR SAFAGA (EG),2019,1,Cargo,15,0,2,1,2,33.95,26.733333,EG,2019-01-01
BUR SAID (PORT SAID) (EG),2019,1,Cargo,602,65,41,284,112,32.3,31.266667,EG,2019-01-01
DAMIETTA (EG),2019,1,Cargo,152,37,25,23,63,31.75,31.483333,EG,2019-01-01
EL GHARDAQA (EG),2019,1,Cargo,1,0,0,0,0,33.85,27.216667,EG,2019-01-01
EL HAMRA OIL TERMINAL (EG),2019,1,Cargo,4,1,3,0,3,28.866667,30.983333,EG,2019-01-01
EL ISMAILIYA (EG),2019,1,Cargo,116,15,12,65,30,32.283333,30.583333,EG,2019-01-01
EL MAADIYA (EG),2019,1,Cargo,174,30,24,7,61,30.15,31.266667,EG,2019-01-01
EL-ADABIYA (EG),2019,1,Cargo,35,2,2,8,6,32.466667,29.866667,EG,2019-01-01
MERSA MATRUH (EG),2019,1,Cargo,1,0,0,0,0,27.233333,31.35,EG,2019-01-01
NUWEIBA EL MUZEIMA (EG),2019,1,Cargo,6,0,0,0,0,34.65,28.966667,EG,2019-01-01
RAS ABU ZANIMAH (EG),2019,1,Cargo,2,1,0,1,2,33.116667,29.033333,EG,2019-01-01
RAS GHARIB (EG),2019,1,Cargo,1,0,0,0,1,33.1,28.35,EG,2019-01-01
RAS SHUKHIER (EG),2019,1,Cargo,1,0,0,0,1,33.283333,28.133333,EG,2019-01-01
SHARM EL SHEIKH (EG),2019,1,Cargo,1,0,0,0,0,34.283333,27.85,EG,2019-01-01
SIDI KERIR (KURAYR) (EG),2019,1,Cargo,2,0,1,0,1,29.616667,31.1,EG,2019-01-01
WADI FEIRAN (EG),2019,1,Cargo,1,0,0,0,1,33.2,28.75,EG,2019-01-01
ZAFARANA TERMINAL (EG),2019,1,Cargo,3,0,1,0,2,32.683333,29.166667,EG,2019-01-01
