,vessel_type,mmsi,date_year,date_month,geo_name
0,Cargo,273215370,2020,12,KAVKAZ OIL TERMINAL (RU)
1,Cargo,273418280,2020,12,AZOV (RU)
2,Cargo,273340850,2020,12,ROSTOV-NA-DONU (RU)
3,Tanker,271000882,2020,12,KAVKAZ OIL TERMINAL (RU)
4,Cargo,352355000,2020,12,MYKOLAYIV (UA)
5,Cargo,373694000,2020,12,NOVOROSSIYSK (RU)
6,Cargo,457010000,2020,12,KAVKAZ OIL TERMINAL (RU)
7,Cargo,671782000,2020,12,NOVOROSSIYSK (RU)
8,Cargo,457704000,2020,12,KAVKAZ OIL TERMINAL (RU)
9,Cargo,273331320,2020,12,TAGANROG (RU)
10,Cargo,355691000,2020,12,TAGANROG (RU)
11,Cargo,538007422,2020,12,YUZHNYY (UA)
12,Cargo,636016477,2020,12,ILLICHIVSK (UA)
13,Tanker,271047982,2020,12,IZMAYIL (UA)
14,Cargo,273325400,2020,12,YEYSK (RU)
15,Tanker,273414840,2020,12,KAVKAZ OIL TERMINAL (RU)
16,Cargo,273457720,2020,12,KAVKAZ OIL TERMINAL (RU)
17,Cargo,355691000,2020,12,YEYSK (RU)
18,Cargo,214181418,2020,12,KHERSON (UA)
19,Cargo,636017022,2020,12,ILLICHIVSK (UA)
20,Cargo,374760000,2020,12,TEMRYUK (RU)
21,Tanker,273348630,2020,12,AZOV (RU)
22,Cargo,636018542,2020,12,ILLICHIVSK (UA)
23,Cargo,244130642,2020,12,YUZHNYY (UA)
24,Cargo,273375000,2020,12,TAGANROG (RU)
25,Cargo,273313800,2020,12,ROSTOV-NA-DONU (RU)
26,Tanker,259266000,2020,12,MYKOLAYIV (UA)
27,Tanker,273452590,2020,12,YEYSK (RU)
28,Cargo,273325400,2020,12,KAVKAZ OIL TERMINAL (RU)
29,Tanker,466243000,2020,12,KAVKAZ OIL TERMINAL (RU)
30,Cargo,312809000,2020,12,KAVKAZ OIL TERMINAL (RU)
31,Tanker,256614000,2020,12,ILLICHIVSK (UA)
32,Cargo,667001549,2020,12,ODESA (UA)
33,Tanker,273355270,2020,12,KAVKAZ OIL TERMINAL (RU)
34,Cargo,273326980,2020,12,ROSTOV-NA-DONU (RU)
35,Cargo,273316640,2020,12,AZOV (RU)
36,Tanker,273391340,2020,12,ROSTOV-NA-DONU (RU)
37,Cargo,279202646,2020,12,RENI (UA)
38,Cargo,273425510,2020,12,ROSTOV-NA-DONU (RU)
39,Cargo,636014381,2020,12,YUZHNYY (UA)
40,Tanker,311000576,2020,12,NOVOROSSIYSK (RU)
41,Cargo,374523000,2020,12,AZOV (RU)
42,Cargo,273419410,2020,12,AZOV (RU)
43,Tanker,373259000,2020,12,TUAPSE (RU)
44,Cargo,370604000,2020,12,YUZHNYY (UA)
45,Cargo,511011035,2020,12,TAGANROG (RU)
46,Cargo,273336670,2020,12,KAVKAZ OIL TERMINAL (RU)
47,Tanker,273351430,2020,12,TAGANROG (RU)
48,Cargo,334020000,2020,12,IZMAYIL (UA)
49,Cargo,271000220,2020,12,ODESA (UA)
50,Tanker,215817000,2020,12,TUAPSE (RU)
51,Cargo,538008021,2020,12,YUZHNYY (UA)
52,Cargo,620262000,2020,12,ROSTOV-NA-DONU (RU)
53,Cargo,353920000,2020,12,NOVOROSSIYSK (RU)
54,Cargo,356602000,2020,12,ROSTOV-NA-DONU (RU)
55,Cargo,511100217,2020,12,RENI (UA)
56,Cargo,215447000,2020,12,KAVKAZ OIL TERMINAL (RU)
57,Cargo,312086000,2020,12,YUZHNYY (UA)
58,Tanker,636016504,2020,12,NOVOROSSIYSK (RU)
59,Cargo,636018998,2020,12,MYKOLAYIV (UA)
60,Cargo,273447120,2020,12,AZOV (RU)
61,Cargo,423056100,2020,12,IZMAYIL (UA)
62,Tanker,273317610,2020,12,TEMRYUK (RU)
63,Cargo,248296000,2020,12,NOVOROSSIYSK (RU)
64,Tanker,419506000,2020,12,NOVOROSSIYSK (RU)
65,Cargo,273341040,2020,12,KAVKAZ OIL TERMINAL (RU)
66,Tanker,273448000,2020,12,ROSTOV-NA-DONU (RU)
67,Tanker,273352050,2020,12,KAVKAZ OIL TERMINAL (RU)
68,Cargo,273314430,2020,12,KAVKAZ OIL TERMINAL (RU)
69,Cargo,352528000,2020,12,YUZHNYY (UA)
70,Cargo,352356000,2020,12,RENI (UA)
71,Cargo,214182698,2020,12,ROSTOV-NA-DONU (RU)
72,Tanker,273431390,2020,12,KAVKAZ OIL TERMINAL (RU)
73,Cargo,207834460,2020,12,MARIUPOL (UA)
74,Cargo,636015815,2020,12,NOVOROSSIYSK (RU)
75,Tanker,273437770,2020,12,ROSTOV-NA-DONU (RU)
76,Cargo,272028900,2020,12,IZMAYIL (UA)
77,Cargo,563029200,2020,12,NOVOROSSIYSK (RU)
78,Cargo,671577000,2020,12,UST-DUNAISK (UA)
79,Tanker,273351260,2020,12,ROSTOV-NA-DONU (RU)
80,Tanker,273382620,2020,12,ROSTOV-NA-DONU (RU)
81,Cargo,341438000,2020,12,IZMAYIL (UA)
82,Cargo,273348830,2020,12,ROSTOV-NA-DONU (RU)
83,Cargo,273453780,2020,12,ROSTOV-NA-DONU (RU)
84,Cargo,636018662,2020,12,MYKOLAYIV (UA)
85,Cargo,273338600,2020,12,KAVKAZ OIL TERMINAL (RU)
86,Tanker,538007915,2020,12,TEMRYUK (RU)
87,Cargo,341862000,2020,12,KAVKAZ OIL TERMINAL (RU)
88,Cargo,374150000,2020,12,IZMAYIL (UA)
89,Cargo,273339410,2020,12,KAVKAZ OIL TERMINAL (RU)
90,Cargo,305213000,2020,12,NOVOROSSIYSK (RU)
91,Cargo,215480000,2020,12,KAVKAZ OIL TERMINAL (RU)
92,Cargo,273310400,2020,12,ROSTOV-NA-DONU (RU)
93,Cargo,272056000,2020,12,KHERSON (UA)
94,Cargo,355691000,2020,12,MARIUPOL (UA)
95,Cargo,273389100,2020,12,AZOV (RU)
96,Cargo,538007757,2020,12,YUZHNYY (UA)
97,Cargo,273315460,2020,12,ROSTOV-NA-DONU (RU)
98,Cargo,538006683,2020,12,KAVKAZ OIL TERMINAL (RU)
99,Cargo,256824000,2020,12,NOVOROSSIYSK (RU)
100,Cargo,667001290,2020,12,ILLICHIVSK (UA)
101,Tanker,351180000,2020,12,ODESA (UA)
102,Cargo,538008241,2020,12,YUZHNYY (UA)
103,Tanker,273352260,2020,12,MARIUPOL (UA)
104,Cargo,538006286,2020,12,NOVOROSSIYSK (RU)
105,Tanker,273412980,2020,12,ILLICHIVSK (UA)
106,Cargo,538005610,2020,12,BERDYANSK (UA)
107,Cargo,370516000,2020,12,DNIPRO-BUZKYY (UA)
108,Cargo,273431210,2020,12,MARIUPOL (UA)
109,Tanker,636019327,2020,12,KAVKAZ OIL TERMINAL (RU)
110,Cargo,511315000,2020,12,TAGANROG (RU)
111,Cargo,273427540,2020,12,KAVKAZ OIL TERMINAL (RU)
112,Cargo,273431210,2020,12,RENI (UA)
113,Cargo,377221000,2020,12,MYKOLAYIV (UA)
114,Cargo,538007583,2020,12,NOVOROSSIYSK (RU)
115,Cargo,273332410,2020,12,TAGANROG (RU)
116,Cargo,538007604,2020,12,MYKOLAYIV (UA)
117,Tanker,538004992,2020,12,MYKOLAYIV (UA)
118,Tanker,538003910,2020,12,YUZHNYY (UA)
119,Cargo,272879100,2020,12,MYKOLAYIV (UA)
120,Tanker,272739000,2020,12,RENI (UA)
121,Tanker,273336610,2020,12,NOVOROSSIYSK (RU)
122,Cargo,373484000,2020,12,KAVKAZ OIL TERMINAL (RU)
123,Cargo,247292200,2020,12,IZMAYIL (UA)
124,Cargo,636020153,2020,12,NOVOROSSIYSK (RU)
125,Cargo,273214570,2020,12,YEYSK (RU)
126,Cargo,357313000,2020,12,YUZHNYY (UA)
127,Cargo,256382000,2020,12,KAVKAZ OIL TERMINAL (RU)
128,Cargo,667001213,2020,12,YUZHNYY (UA)
129,Cargo,356620000,2020,12,KAVKAZ OIL TERMINAL (RU)
130,Cargo,273458610,2020,12,KAVKAZ OIL TERMINAL (RU)
131,Cargo,215139000,2020,12,TUAPSE (RU)
132,Cargo,477711600,2020,12,NOVOROSSIYSK (RU)
133,Tanker,273353340,2020,12,KAVKAZ OIL TERMINAL (RU)
134,Cargo,671346000,2020,12,BERDYANSK (UA)
135,Cargo,271043661,2020,12,TUAPSE (RU)
136,Cargo,518100167,2020,12,AZOV (RU)
137,Cargo,273333880,2020,12,KAVKAZ OIL TERMINAL (RU)
138,Tanker,273336920,2020,12,ROSTOV-NA-DONU (RU)
139,Cargo,577268000,2020,12,KAVKAZ OIL TERMINAL (RU)
140,Tanker,273359070,2020,12,KAVKAZ OIL TERMINAL (RU)
141,Tanker,273344400,2020,12,AZOV (RU)
142,Cargo,215773000,2020,12,KAVKAZ OIL TERMINAL (RU)
143,Cargo,273340110,2020,12,KAVKAZ OIL TERMINAL (RU)
144,Cargo,273338600,2020,12,AZOV (RU)
145,Cargo,273357260,2020,12,KAVKAZ OIL TERMINAL (RU)
146,Cargo,215500000,2020,12,KAVKAZ OIL TERMINAL (RU)
147,Cargo,229939000,2020,12,KAVKAZ OIL TERMINAL (RU)
148,Cargo,305204000,2020,12,KHERSON (UA)
149,Cargo,677075400,2020,12,AZOV (RU)
150,Tanker,215220000,2020,12,TUAPSE (RU)
151,Cargo,374300000,2020,12,YEYSK (RU)
152,Tanker,351180000,2020,12,YUZHNYY (UA)
153,Cargo,273427610,2020,12,KAVKAZ OIL TERMINAL (RU)
154,Tanker,273361100,2020,12,TAGANROG (RU)
155,Cargo,272878200,2020,12,KHERSON (UA)
156,Cargo,214182662,2020,12,ROSTOV-NA-DONU (RU)
157,Cargo,374712000,2020,12,MYKOLAYIV (UA)
158,Tanker,273322210,2020,12,KAVKAZ OIL TERMINAL (RU)
159,Cargo,355016000,2020,12,KHERSON (UA)
160,Cargo,677010700,2020,12,AZOV (RU)
161,Cargo,351081000,2020,12,KAVKAZ OIL TERMINAL (RU)
162,Tanker,215171000,2020,12,NOVOROSSIYSK (RU)
163,Cargo,273435130,2020,12,ROSTOV-NA-DONU (RU)
164,Cargo,538008901,2020,12,TUAPSE (RU)
165,Cargo,207072248,2020,12,RENI (UA)
166,Cargo,636019547,2020,12,YUZHNYY (UA)
167,Cargo,273387100,2020,12,KAVKAZ OIL TERMINAL (RU)
168,Cargo,273419410,2020,12,KAVKAZ OIL TERMINAL (RU)
169,Cargo,273365100,2020,12,KAVKAZ OIL TERMINAL (RU)
170,Tanker,273317610,2020,12,KAVKAZ OIL TERMINAL (RU)
171,Tanker,273352260,2020,12,YEYSK (RU)
172,Cargo,671577000,2020,12,IZMAYIL (UA)
173,Cargo,538007200,2020,12,KAVKAZ OIL TERMINAL (RU)
174,Cargo,273416080,2020,12,KAVKAZ OIL TERMINAL (RU)
175,Cargo,207138000,2020,12,MARIUPOL (UA)
176,Tanker,229599000,2020,12,KAVKAZ OIL TERMINAL (RU)
177,Cargo,374523000,2020,12,TAGANROG (RU)
178,Tanker,273433790,2020,12,AZOV (RU)
179,Cargo,273347320,2020,12,TAGANROG (RU)
180,Cargo,636018739,2020,12,NOVOROSSIYSK (RU)
181,Cargo,271002103,2020,12,ILLICHIVSK (UA)
182,Cargo,305204000,2020,12,YUZHNYY (UA)
183,Cargo,372505000,2020,12,TUAPSE (RU)
184,Cargo,214182620,2020,12,KAVKAZ OIL TERMINAL (RU)
185,Cargo,370040000,2020,12,ROSTOV-NA-DONU (RU)
186,Cargo,518100106,2020,12,ROSTOV-NA-DONU (RU)
187,Tanker,240575000,2020,12,NOVOROSSIYSK (RU)
188,Cargo,341823000,2020,12,YUZHNYY (UA)
189,Cargo,214182667,2020,12,RENI (UA)
190,Cargo,636020064,2020,12,NOVOROSSIYSK (RU)
191,Cargo,273338930,2020,12,ROSTOV-NA-DONU (RU)
192,Cargo,249353000,2020,12,TAGANROG (RU)
193,Cargo,241602000,2020,12,KAVKAZ OIL TERMINAL (RU)
194,Cargo,353296000,2020,12,IZMAYIL (UA)
195,Tanker,273338920,2020,12,KAVKAZ OIL TERMINAL (RU)
196,Cargo,256624000,2020,12,MYKOLAYIV (UA)
197,Cargo,215066000,2020,12,ILLICHIVSK (UA)
198,Tanker,273351450,2020,12,TEMRYUK (RU)
199,Tanker,271045975,2020,12,KAVKAZ OIL TERMINAL (RU)
200,Cargo,256132000,2020,12,MYKOLAYIV (UA)
201,Cargo,273416080,2020,12,YEYSK (RU)
202,Tanker,215276000,2020,12,KAVKAZ OIL TERMINAL (RU)
