,vessel_type,mmsi,date_year,date_month,geo_name
0,Tanker,249028000,2023,9,Bosphorus (TR)
1,Cargo,511100502,2023,9,Bosphorus (TR)
2,Tanker,241572000,2023,9,Bosphorus (TR)
3,Cargo,271050213,2023,9,Bosphorus (TR)
4,Cargo,352001177,2023,9,Bosphorus (TR)
5,Cargo,249870000,2023,9,Bosphorus (TR)
6,Cargo,352002417,2023,9,Bosphorus (TR)
7,Tanker,273374820,2023,9,Bosphorus (TR)
8,Tanker,357263000,2023,9,Bosphorus (TR)
9,Tanker,538009549,2023,9,Suez (EG)
10,Cargo,630001021,2023,9,Bosphorus (TR)
11,Cargo,538004047,2023,9,Bosphorus (TR)
12,Cargo,538007109,2023,9,Bosphorus (TR)
13,Cargo,273351280,2023,9,Bosphorus (TR)
14,Tanker,271043403,2023,9,Bosphorus (TR)
15,Cargo,538006247,2023,9,Bosphorus (TR)
16,Cargo,248013000,2023,9,Suez (EG)
17,Cargo,373361000,2023,9,Suez (EG)
18,Tanker,636020693,2023,9,Suez (EG)
19,Cargo,636020932,2023,9,Suez (EG)
20,Tanker,311001298,2023,9,Suez (EG)
21,Cargo,271000854,2023,9,Bosphorus (TR)
22,Tanker,538006839,2023,9,Suez (EG)
23,Cargo,273355040,2023,9,Bosphorus (TR)
24,Cargo,341141000,2023,9,Bosphorus (TR)
25,Tanker,240755000,2023,9,Suez (EG)
26,Cargo,416070000,2023,9,Suez (EG)
27,Tanker,518998917,2023,9,Suez (EG)
28,Tanker,248902000,2023,9,Suez (EG)
29,Cargo,538003561,2023,9,Suez (EG)
30,Cargo,636016338,2023,9,Bosphorus (TR)
31,Cargo,209766000,2023,9,Bosphorus (TR)
32,Tanker,538005388,2023,9,Suez (EG)
33,Cargo,352384000,2023,9,Bosphorus (TR)
34,Tanker,538007361,2023,9,Suez (EG)
35,Cargo,354129000,2023,9,Bosphorus (TR)
36,Tanker,368108000,2023,9,Bosphorus (TR)
37,Cargo,215480000,2023,9,Suez (EG)
38,Cargo,477194600,2023,9,Suez (EG)
39,Cargo,229870000,2023,9,Suez (EG)
40,Tanker,538010082,2023,9,Suez (EG)
41,Cargo,477636200,2023,9,Suez (EG)
42,Cargo,636018564,2023,9,Suez (EG)
43,Cargo,671706000,2023,9,Suez (EG)
44,Cargo,311000459,2023,9,Suez (EG)
45,Tanker,636022367,2023,9,Suez (EG)
46,Cargo,232027404,2023,9,Suez (EG)
47,Cargo,413381250,2023,9,Suez (EG)
48,Tanker,538008329,2023,9,Suez (EG)
49,Tanker,374419000,2023,9,Bosphorus (TR)
50,Tanker,273359170,2023,9,Bosphorus (TR)
51,Cargo,255803480,2023,9,Suez (EG)
52,Cargo,256054000,2023,9,Bosphorus (TR)
53,Cargo,511100603,2023,9,Bosphorus (TR)
54,Cargo,563092500,2023,9,Bosphorus (TR)
55,Tanker,215065000,2023,9,Bosphorus (TR)
56,Cargo,272771000,2023,9,Bosphorus (TR)
57,Tanker,636021782,2023,9,Bosphorus (TR)
58,Cargo,373012000,2023,9,Suez (EG)
59,Cargo,563069900,2023,9,Suez (EG)
60,Cargo,511100763,2023,9,Bosphorus (TR)
61,Cargo,613571000,2023,9,Bosphorus (TR)
62,Cargo,636020187,2023,9,Suez (EG)
63,Cargo,273399100,2023,9,Bosphorus (TR)
64,Cargo,636019773,2023,9,Suez (EG)
65,Cargo,246309000,2023,9,Bosphorus (TR)
66,Tanker,477100500,2023,9,Suez (EG)
67,Cargo,636019718,2023,9,Suez (EG)
68,Cargo,247352100,2023,9,Suez (EG)
69,Cargo,671782000,2023,9,Bosphorus (TR)
